date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:06:23	70054/70054	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:21%20GMT	https://mixdesign.club/themeforest/braxton/img/services/1200x900_s02.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/services/1200x900_s02.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:24	2193/2193	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:15%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-photoshop.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-photoshop.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:24	981/981	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:12%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-figma.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-figma.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:24	82646/82646	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:14:22%20GMT	https://mixdesign.club/themeforest/braxton/img/services/1200x900_s04.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/services/1200x900_s04.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:24	1464/1464	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:13%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-illustrator.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-illustrator.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:25	1145/1145	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:16%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-scketch.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-scketch.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:25	1715/1715	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:10%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-blender.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-blender.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:25	1173/1173	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:12%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-html.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-html.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:25	1239/1239	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:11%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-css.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-css.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:26	1487/1487	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:14:15%20GMT	https://mixdesign.club/themeforest/braxton/img/icons/icon-notion.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/icons/icon-notion.svg	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:26	15134/15134	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:13:45%20GMT	https://mixdesign.club/themeforest/braxton/img/avatars/400x400_t01.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/avatars/400x400_t01.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:26	24880/24880	---M--	200	added ('OK')	image/webp	date:Sun,%2010%20Mar%202024%2018:13:45%20GMT	https://mixdesign.club/themeforest/braxton/img/avatars/400x400_t02.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/avatars/400x400_t02.webp	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:27	14049/14049	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2010%20Mar%202024%2018:14:46%20GMT	https://mixdesign.club/themeforest/braxton/js/app.js	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/js/app.js	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:27	6520/6520	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2010%20Mar%202024%2018:14:46%20GMT	https://mixdesign.club/themeforest/braxton/js/gallery-init.js	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/js/gallery-init.js	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:28	520987/520987	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2010%20Mar%202024%2018:14:49%20GMT	https://mixdesign.club/themeforest/braxton/js/libs.min.js	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/js/libs.min.js	(from https://mixdesign.club/themeforest/braxton/index-svg.html)
19:06:29	108036/108036	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:09%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:31	344812/344812	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:08%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:31	128852/128852	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:13%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:32	344736/344736	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:06%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:33	460928/460928	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:14%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:34	90960/90960	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:19%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:35	1190491/1190491	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:07%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Bold.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:35	460852/460852	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:11%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:36	302548/302548	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:16%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:36	111664/111664	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:23%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:37	1425850/1425850	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:12%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Duotone.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:37	302624/302624	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:18%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:37	376792/376792	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:23%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:38	1083104/1083104	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:17%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Fill.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:39	105964/105964	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:35%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:40	376716/376716	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:21%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:40	1315404/1315404	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:22%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Light.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:41	351288/351288	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:33%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:41	351212/351212	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:31%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:41	1206253/1206253	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:33%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:41	110992/110992	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:29%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:42	377996/377996	---M--	200	added ('OK')	application/font-woff	date:Sun,%2010%20Mar%202024%2018:13:28%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.woff	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.woff	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:42	1307660/1307660	---MCZ	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:27%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:43	25452/25452	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:12:57%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:43	377920/377920	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:26%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Phosphor/Phosphor-Thin.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:43	156496/156496	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:13:00%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:43	68004/68004	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:12:58%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-regular-400.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:43	117372/117372	---M--	200	added ('OK')	application/font-woff2	date:Sun,%2010%20Mar%202024%2018:12:56%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.woff2	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.woff2	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:44	419720/419720	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:13:01%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-solid-900.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:44	1384/1384	---M--	200	added ('OK')	image/png	date:Sun,%2010%20Mar%202024%2018:13:37%20GMT	https://mixdesign.club/themeforest/braxton/img/default-skin.png	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/default-skin.png	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:44	3848/3848	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2010%20Mar%202024%2018:13:37%20GMT	https://mixdesign.club/themeforest/braxton/img/default-skin.svg	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/default-skin.svg	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:44	207972/207972	---M--	200	added ('OK')	application/x-font-ttf	date:Sun,%2010%20Mar%202024%2018:12:56%20GMT	https://mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.ttf	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/fonts/Fontawesome/fa-brands-400.ttf	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:44	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2007%20Apr%202024%2012:06:46%20GMT	https://mixdesign.club/themeforest/braxton/img/preloader.gif	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/preloader.gif	(from https://mixdesign.club/themeforest/braxton/css/plugins.css)
19:06:48	525212/525212	---M--	200	added ('OK')	image/webp	date:Wed,%2020%20Mar%202024%2016:28:35%20GMT	https://mixdesign.club/themeforest/braxton/img/backgrounds/1920x1080-main-bg.webp	C:/My%20Web%20Sites/website/mixdesign.club/themeforest/braxton/img/backgrounds/1920x1080-main-bg.webp	(from https://mixdesign.club/themeforest/braxton/css/main.css)
